DATE,CFS
2019-09-11,1087.3958333333333
2019-09-12,931.21875
2019-09-13,871.4895833333334
2019-09-14,999.9895833333334
2019-09-15,887.1770833333334
2019-09-16,853.0208333333334
2019-09-17,919.3854166666666
2019-09-18,836.8333333333334
2019-09-19,849.0833333333334
2019-09-20,844.6875
2019-09-21,1108.8854166666667
2019-09-22,1022.6041666666666
2019-09-23,1098.4479166666667
2019-09-24,944.4270833333334
2019-09-25,1063.8541666666667
2019-09-26,1007.1666666666666
2019-09-27,1001.0416666666666
2019-09-28,1388.1145833333333
2019-09-29,1343.9583333333333
2019-09-30,1239.4791666666667
2019-10-01,1083.9791666666667
2019-10-02,857.9791666666666
2019-10-03,872.03125
2019-10-04,1127.1770833333333
2019-10-05,1180.5208333333333
2019-10-06,780.2395833333334
